Year,RCP26,RCP45,RCP6,RCP85
2012,8.91466,8.86022,8.59944,9.44798
2013,8.96129,8.98663,8.64331,9.70917
2014,9.00792,9.11304,8.68718,9.97036
2015,9.05455,9.23945,8.73105,10.23155
2016,9.10118,9.36586,8.77492,10.49274
2017,9.14781,9.49227,8.81879,10.75393
2018,9.19444,9.61868,8.86266,11.01512
2019,9.24107,9.74509,8.90653,11.27631
2020,9.2877,9.8715,8.9504,11.5375
2021,9.07462,9.97968,9.05487,11.76766
2022,8.86154,10.08786,9.15934,11.99782
2023,8.64846,10.19604,9.26381,12.22798
2024,8.43538,10.30422,9.36828,12.45814
2025,8.2223,10.4124,9.47275,12.6883
2026,8.00922,10.52058,9.57722,12.91846
2027,7.79614,10.62876,9.68169,13.14862
2028,7.58306,10.73694,9.78616,13.37878
2029,7.36998,10.84512,9.89063,13.60894
2030,7.1569,10.9533,9.9951,13.8391
2031,6.8947,10.99177,10.15102,14.13385
2032,6.6325,11.03024,10.30694,14.4286
2033,6.3703,11.06871,10.46286,14.72335
2034,6.1081,11.10718,10.61878,15.0181
2035,5.8459,11.14565,10.7747,15.31285
2036,5.5837,11.18412,10.93062,15.6076
2037,5.3215,11.22259,11.08654,15.90235
2038,5.0593,11.26106,11.24246,16.1971
2039,4.7971,11.29953,11.39838,16.49185
2040,4.5349,11.338,11.5543,16.7866
2041,4.39997,11.30733,11.70325,17.1284
2042,4.26504,11.27666,11.8522,17.4702
2043,4.13011,11.24599,12.00115,17.812
2044,3.99518,11.21532,12.1501,18.1538
2045,3.86025,11.18465,12.29905,18.4956
2046,3.72532,11.15398,12.448,18.8374
2047,3.59039,11.12331,12.59695,19.1792
2048,3.45546,11.09264,12.7459,19.521
2049,3.32053,11.06197,12.89485,19.8628
2050,3.1856,11.0313,13.0438,20.2046
2051,3.00896,10.86829,13.22186,20.54375
2052,2.83232,10.70528,13.39992,20.8829
2053,2.65568,10.54227,13.57798,21.22205
2054,2.47904,10.37926,13.75604,21.5612
2055,2.3024,10.21625,13.9341,21.90035
2056,2.12576,10.05324,14.11216,22.2395
2057,1.94912,9.89023,14.29022,22.57865
2058,1.77248,9.72722,14.46828,22.9178
2059,1.59584,9.56421,14.64634,23.25695
2060,1.4192,9.4012,14.8244,23.5961
2061,1.28885,9.1729,14.99256,23.83271
2062,1.1585,8.9446,15.16072,24.06932
2063,1.02815,8.7163,15.32888,24.30593
2064,0.8978,8.488,15.49704,24.54254
2065,0.76745,8.2597,15.6652,24.77915
2066,0.6371,8.0314,15.83336,25.01576
2067,0.50675,7.8031,16.00152,25.25237
2068,0.3764,7.5748,16.16968,25.48898
2069,0.24605,7.3465,16.33784,25.72559
2070,0.1157,7.1182,16.506,25.9622
2071,0.06083,6.82459,16.58346,26.10659
2072,0.00596,6.53098,16.66092,26.25098
2073,-0.04891,6.23737,16.73838,26.39537
2074,-0.10378,5.94376,16.81584,26.53976
2075,-0.15865,5.65015,16.8933,26.68415
2076,-0.21352,5.35654,16.97076,26.82854
2077,-0.26839,5.06293,17.04822,26.97293
2078,-0.32326,4.76932,17.12568,27.11732
2079,-0.37813,4.47571,17.20314,27.26171
2080,-0.433,4.1821,17.2806,27.4061
2081,-0.47674,4.18314,16.98385,27.49916
2082,-0.52048,4.18418,16.6871,27.59222
2083,-0.56422,4.18522,16.39035,27.68528
2084,-0.60796,4.18626,16.0936,27.77834
2085,-0.6517,4.1873,15.79685,27.8714
2086,-0.69544,4.18834,15.5001,27.96446
2087,-0.73918,4.18938,15.20335,28.05752
2088,-0.78292,4.19042,14.9066,28.15058
2089,-0.82666,4.19146,14.60985,28.24364
2090,-0.8704,4.1925,14.3131,28.3367
2091,-0.87644,4.19355,14.25712,28.37703
2092,-0.88248,4.1946,14.20114,28.41736
2093,-0.88852,4.19565,14.14516,28.45769
2094,-0.89456,4.1967,14.08918,28.49802
2095,-0.9006,4.19775,14.0332,28.53835
2096,-0.90664,4.1988,13.97722,28.57868
2097,-0.91268,4.19985,13.92124,28.61901
2098,-0.91872,4.2009,13.86526,28.65934
2099,-0.92476,4.20195,13.80928,28.69967
2100,-0.9308,4.203,13.7533,28.74
