Year,RCP26,RCP45,RCP6,RCP85
2012,1.03976,0.79664,0.78318,1.01626
2013,1.03139,0.73966,0.73607,1.00254
2014,1.02302,0.68268,0.68896,0.98882
2015,1.01465,0.6257,0.64185,0.9751
2016,1.00628,0.56872,0.59474,0.96138
2017,0.99791,0.51174,0.54763,0.94766
2018,0.98954,0.45476,0.50052,0.93394
2019,0.98117,0.39778,0.45341,0.92022
2020,0.9728,0.3408,0.4063,0.9065
2021,0.95441,0.32835,0.30994,0.88735
2022,0.93602,0.3159,0.21358,0.8682
2023,0.91763,0.30345,0.11722,0.84905
2024,0.89924,0.291,0.02086,0.8299
2025,0.88085,0.27855,-0.0755,0.81075
2026,0.86246,0.2661,-0.17186,0.7916
2027,0.84407,0.25365,-0.26822,0.77245
2028,0.82568,0.2412,-0.36458,0.7533
2029,0.80729,0.22875,-0.46094,0.73415
2030,0.7889,0.2163,-0.5573,0.715
2031,0.75891,0.21454,-0.57298,0.708
2032,0.72892,0.21278,-0.58866,0.701
2033,0.69893,0.21102,-0.60434,0.694
2034,0.66894,0.20926,-0.62002,0.687
2035,0.63895,0.2075,-0.6357,0.68
2036,0.60896,0.20574,-0.65138,0.673
2037,0.57897,0.20398,-0.66706,0.666
2038,0.54898,0.20222,-0.68274,0.659
2039,0.51899,0.20046,-0.69842,0.652
2040,0.489,0.1987,-0.7141,0.645
2041,0.46022,0.20369,-0.68907,0.6381
2042,0.43144,0.20868,-0.66404,0.6312
2043,0.40266,0.21367,-0.63901,0.6243
2044,0.37388,0.21866,-0.61398,0.6174
2045,0.3451,0.22365,-0.58895,0.6105
2046,0.31632,0.22864,-0.56392,0.6036
2047,0.28754,0.23363,-0.53889,0.5967
2048,0.25876,0.23862,-0.51386,0.5898
2049,0.22998,0.24361,-0.48883,0.5829
2050,0.2012,0.2486,-0.4638,0.576
2051,0.2426,0.24215,-0.44326,0.5685
2052,0.284,0.2357,-0.42272,0.561
2053,0.3254,0.22925,-0.40218,0.5535
2054,0.3668,0.2228,-0.38164,0.546
2055,0.4082,0.21635,-0.3611,0.5385
2056,0.4496,0.2099,-0.34056,0.531
2057,0.491,0.20345,-0.32002,0.5235
2058,0.5324,0.197,-0.29948,0.516
2059,0.5738,0.19055,-0.27894,0.5085
2060,0.6152,0.1841,-0.2584,0.501
2061,0.6075,0.17607,-0.23549,0.4921
2062,0.5998,0.16804,-0.21258,0.4832
2063,0.5921,0.16001,-0.18967,0.4743
2064,0.5844,0.15198,-0.16676,0.4654
2065,0.5767,0.14395,-0.14385,0.4565
2066,0.569,0.13592,-0.12094,0.4476
2067,0.5613,0.12789,-0.09803,0.4387
2068,0.5536,0.11986,-0.07512,0.4298
2069,0.5459,0.11183,-0.05221,0.4209
2070,0.5382,0.1038,-0.0293,0.412
2071,0.53938,0.0942,-0.00196,0.4017
2072,0.54056,0.0846,0.02538,0.3914
2073,0.54174,0.075,0.05272,0.3811
2074,0.54292,0.0654,0.08006,0.3708
2075,0.5441,0.0558,0.1074,0.3605
2076,0.54528,0.0462,0.13474,0.3502
2077,0.54646,0.0366,0.16208,0.3399
2078,0.54764,0.027,0.18942,0.3296
2079,0.54882,0.0174,0.21676,0.3193
2080,0.55,0.0078,0.2441,0.309
2081,0.55524,0.00973,0.24394,0.2975
2082,0.56048,0.01166,0.24378,0.286
2083,0.56572,0.01359,0.24362,0.2745
2084,0.57096,0.01552,0.24346,0.263
2085,0.5762,0.01745,0.2433,0.2515
2086,0.58144,0.01938,0.24314,0.24
2087,0.58668,0.02131,0.24298,0.2285
2088,0.59192,0.02324,0.24282,0.217
2089,0.59716,0.02517,0.24266,0.2055
2090,0.6024,0.0271,0.2425,0.194
2091,0.59329,0.02902,0.23639,0.1823
2092,0.58418,0.03094,0.23028,0.1706
2093,0.57507,0.03286,0.22417,0.1589
2094,0.56596,0.03478,0.21806,0.1472
2095,0.55685,0.0367,0.21195,0.1355
2096,0.54774,0.03862,0.20584,0.1238
2097,0.53863,0.04054,0.19973,0.1121
2098,0.52952,0.04246,0.19362,0.1004
2099,0.52041,0.04438,0.18751,0.0887
2100,0.5113,0.0463,0.1814,0.077
